period,unrate
1990,5.25
1990.25,5.333333333
1990.5,5.7
1990.75,6.133333333
1991,6.6
1991.25,6.833333333
1991.5,6.866666667
1991.75,7.1
1992,7.366666667
1992.25,7.6
1992.5,7.633333333
1992.75,7.366666667
1993,7.133333333
1993.25,7.066666667
1993.5,6.8
1993.75,6.633333333
1994,6.566666667
1994.25,6.2
1994.5,6
1994.75,5.633333333
1995,5.466666667
1995.25,5.666666667
1995.5,5.666666667
1995.75,5.566666667
1996,5.533333333
1996.25,5.5
1996.5,5.266666667
1996.75,5.333333333
1997,5.233333333
1997.25,5
1997.5,4.866666667
1997.75,4.666666667
1998,4.633333333
1998.25,4.4
1998.5,4.533333333
1998.75,4.433333333
1999,4.3
1999.25,4.266666667
1999.5,4.233333333
1999.75,4.066666667
2000,4.033333333
2000.25,3.933333333
2000.5,4
2000.75,3.9
2001,4.233333333
2001.25,4.4
2001.5,4.833333333
2001.75,5.5
2002,5.7
2002.25,5.833333333
2002.5,5.733333333
2002.75,5.866666667
2003,5.866666667
2003.25,6.133333333
2003.5,6.133333333
2003.75,5.833333333
2004,5.7
2004.25,5.6
2004.5,5.433333333
2004.75,5.433333333
2005,5.3
2005.25,5.1
2005.5,4.966666667
2005.75,4.966666667
2006,4.733333333
2006.25,4.633333333
2006.5,4.633333333
2006.75,4.433333333
2007,4.5
2007.25,4.5
2007.5,4.666666667
2007.75,4.8
2008,5
2008.25,5.333333333
2008.5,6
2008.75,6.866666667
2009,8.266666667
2009.25,9.3
2009.5,9.633333333
2009.75,9.933333333
2010,9.833333333
2010.25,9.633333333
2010.5,9.466666667
2010.75,9.5
2011,9.033333333
2011.25,9.066666667
2011.5,9
2011.75,8.633333333
2012,8.266666667
2012.25,8.2
2012.5,8.033333333
2012.75,7.8
2013,7.733333333
2013.25,7.533333333
2013.5,7.233333333
2013.75,6.933333333
2014,6.666666667
2014.25,6.2
2014.5,6.066666667
2014.75,5.7
2015,5.533333333
2015.25,5.433333333
2015.5,5.1
2015.75,5.033333333
2016,4.933333333
2016.25,4.9
2016.5,4.9
2016.75,4.766666667
